objid,datetime,datetime_raw,parent,type,type_raw,name,status,status_raw,message,message_raw
6285,10-05-2024 14:21:30,45422.3690974421,Huawei S6720 @ BSE-NM (172.16.5.2),Syslog Receiver,udpsyslog,Syslog Receiver,Down,608,"<div class=""logmessage"">0.03 #/s (Errors) is above the error limit of < 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.03 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
5602,10-05-2024 14:21:13,45422.3689010417,Cisco 31108 @ CMMR (172.16.8.2)(8.8.8.2),Cisco IP SLA,ipsla,Eth1/36 IP-SLA CMMR to BKC (172.1.5.1) to (172.1.5.2),Up,607,"<div class=""logmessage"">11 msec<div class=""moreicon""></div></div>",11 msec
6297,10-05-2024 14:21:13,45422.3689005787,CISCO ME-3600X @ BKC-MSEI 172.16.3.31,Syslog Receiver,udpsyslog,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
4561,10-05-2024 14:21:08,45422.3688465741,Cisco 31108 @ BHANDUP (172.16.9.1)(9.9.9.1),Cisco IP SLA,ipsla,Eth-1/47 IP-SLA BHANDUP to BKC (172.3.4.1) to (172.3.4.2),Up,607,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>",1 msec
6218,10-05-2024 14:20:53,45422.3686766435,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,ipsla,Eth-1/54 IP-SLA CDC to NSE (172.1.3.1) to (172.1.3.2),Up,607,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>",1 msec
7192,10-05-2024 14:20:49,45422.3686290625,Cisco 31108 @ Chennai-Egmore(172.16.13.1)(13.13.13.13),Cisco IP SLA,ipsla,ip sla Eth1/46 CHENNAI_TO_NEXTRA_PRI,Up,607,"<div class=""logmessage"">3 msec<div class=""moreicon""></div></div>",3 msec
5602,10-05-2024 14:20:43,45422.3685549653,Cisco 31108 @ CMMR (172.16.8.2)(8.8.8.2),Cisco IP SLA,ipsla,Eth1/36 IP-SLA CMMR to BKC (172.1.5.1) to (172.1.5.2),Warning,609,"<div class=""logmessage"">14 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 12 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>",14 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 12 msec in Avg. Round Trip Time (RTT)
6297,10-05-2024 14:20:42,45422.3685532176,CISCO ME-3600X @ BKC-MSEI 172.16.3.31,Syslog Receiver,udpsyslog,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.10 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.10 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
4561,10-05-2024 14:20:38,45422.3684992940,Cisco 31108 @ BHANDUP (172.16.9.1)(9.9.9.1),Cisco IP SLA,ipsla,Eth-1/47 IP-SLA BHANDUP to BKC (172.3.4.1) to (172.3.4.2),Down,608,"<div class=""logmessage"">8 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>",8 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)
6355,10-05-2024 14:20:22,45422.3683216898,HUAWEI S5720 @CDC-JP-101 (172.16.1.11),Syslog Receiver,udpsyslog,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
6718,10-05-2024 14:20:22,45422.3683153472,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/24 Traffic to MCX-12 UPLINK,Up,607,"<div class=""logmessage"">5.94 Mbit/s<div class=""moreicon""></div></div>",5.94 Mbit/s
7192,10-05-2024 14:20:19,45422.3682818634,Cisco 31108 @ Chennai-Egmore(172.16.13.1)(13.13.13.13),Cisco IP SLA,ipsla,ip sla Eth1/46 CHENNAI_TO_NEXTRA_PRI,Down,608,"<div class=""logmessage"">6 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>",6 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)
6677,10-05-2024 14:20:16,45422.3682466319,Cisco 31108 @CDC-JP-101 (172.17.1.1) (1.1.1.129),Cisco IP SLA,ipsla,Eth1/40 IP-SLA RCOM CDC 1.1.1.129 to BKC 3.3.3.4 (173.1.5.1) to (173.1.5.2),Up,607,"<div class=""logmessage"">3 msec<div class=""moreicon""></div></div>",3 msec
6717,10-05-2024 14:20:14,45422.3682203009,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/22 Traffic to MCX-11 UPLINK,Up,607,"<div class=""logmessage"">4.54 Mbit/s<div class=""moreicon""></div></div>",4.54 Mbit/s
4360,10-05-2024 14:20:13,45422.3682074769,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/9 Traffic to MCX-5 UPLINK,Up,607,"<div class=""logmessage"">14 Mbit/s<div class=""moreicon""></div></div>",14 Mbit/s
6218,10-05-2024 14:19:53,45422.3679821412,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,ipsla,Eth-1/54 IP-SLA CDC to NSE (172.1.3.1) to (172.1.3.2),Down,608,"<div class=""logmessage"">35 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>",35 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)
6718,10-05-2024 14:19:52,45422.3679656944,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/24 Traffic to MCX-12 UPLINK,Down,608,"<div class=""logmessage"">22 #/s (Discards Out) is above the error limit of 2 #/s in Discards Out<div class=""moreicon""></div></div>",22 #/s (Discards Out) is above the error limit of 2 #/s in Discards Out
6717,10-05-2024 14:19:44,45422.3678743634,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/22 Traffic to MCX-11 UPLINK,Down,608,"<div class=""logmessage"">22 #/s (Discards Out) is above the error limit of 2 #/s in Discards Out<div class=""moreicon""></div></div>",22 #/s (Discards Out) is above the error limit of 2 #/s in Discards Out
4360,10-05-2024 14:19:43,45422.3678590046,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/9 Traffic to MCX-5 UPLINK,Down,608,"<div class=""logmessage"">22 #/s (Discards Out) is above the error limit of 2 #/s in Discards Out<div class=""moreicon""></div></div>",22 #/s (Discards Out) is above the error limit of 2 #/s in Discards Out
5576,10-05-2024 14:19:42,45422.3678499190,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,ipsla,Eth-1/47 IP-SLA LVSB to CHURCHGATE (172.2.3.1) to (172.2.3.2),Up,607,"<div class=""logmessage"">2 msec<div class=""moreicon""></div></div>",2 msec
6355,10-05-2024 14:19:22,45422.3676272569,HUAWEI S5720 @CDC-JP-101 (172.16.1.11),Syslog Receiver,udpsyslog,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
6677,10-05-2024 14:19:16,45422.3675546991,Cisco 31108 @CDC-JP-101 (172.17.1.1) (1.1.1.129),Cisco IP SLA,ipsla,Eth1/40 IP-SLA RCOM CDC 1.1.1.129 to BKC 3.3.3.4 (173.1.5.1) to (173.1.5.2),Warning,609,"<div class=""logmessage"">4 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 3 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>",4 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 3 msec in Avg. Round Trip Time (RTT)
5576,10-05-2024 14:19:12,45422.3675026042,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,ipsla,Eth-1/47 IP-SLA LVSB to CHURCHGATE (172.2.3.1) to (172.2.3.2),Warning,609,"<div class=""logmessage"">4 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 3 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>",4 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 3 msec in Avg. Round Trip Time (RTT)
6674,10-05-2024 14:18:30,45422.3670151968,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/2 Traffic to MCX-8 UPLINK,Up,607,"<div class=""logmessage"">19 Mbit/s<div class=""moreicon""></div></div>",19 Mbit/s
5814,10-05-2024 14:18:28,45422.3669921875,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/14 Traffic to MCX-7 UPLINK,Up,607,"<div class=""logmessage"">8.79 Mbit/s<div class=""moreicon""></div></div>",8.79 Mbit/s
