ID,Date Time,Parent,Type,Object,Status,Message
6422,03-06-2024 14:10:27,Cisco 31108 @ KALWA PGCL(172.16.14.1)(14.14.14.1),Cisco IP SLA,Eth1/46 IP-SLA KALWA to YOTTA 150MB (172.14.3.1) to (172.14.3.2),Up,"<div class=""logmessage"">2 msec<div class=""moreicon""></div></div>"
6297,03-06-2024 14:10:03,CISCO ME-3600X @ BKC-MSEI 172.16.3.31,Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>"
6422,03-06-2024 14:09:57,Cisco 31108 @ KALWA PGCL(172.16.14.1)(14.14.14.1),Cisco IP SLA,Eth1/46 IP-SLA KALWA to YOTTA 150MB (172.14.3.1) to (172.14.3.2),Warning,"<div class=""logmessage"">4 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 3 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
3824,03-06-2024 14:09:45,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/52 IP-SLA CDC to BKC (172.1.1.1) to (172.1.1.2),Up,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>"
6259,03-06-2024 14:09:42,Huawei S6720 @NSE-PHASE-4 (172.16.4.2),Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">0.07 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>"
6297,03-06-2024 14:09:33,CISCO ME-3600X @ BKC-MSEI 172.16.3.31,Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.10 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>"
5602,03-06-2024 14:09:07,Cisco 31108 @ CMMR (172.16.8.2)(8.8.8.2),Cisco IP SLA,Eth1/36 IP-SLA CMMR to BKC (172.1.5.1) to (172.1.5.2),Up,"<div class=""logmessage"">10 msec<div class=""moreicon""></div></div>"
3824,03-06-2024 14:08:45,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/52 IP-SLA CDC to BKC (172.1.1.1) to (172.1.1.2),Down,"<div class=""logmessage"">5 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
6259,03-06-2024 14:08:42,Huawei S6720 @NSE-PHASE-4 (172.16.4.2),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>"
5602,03-06-2024 14:08:37,Cisco 31108 @ CMMR (172.16.8.2)(8.8.8.2),Cisco IP SLA,Eth1/36 IP-SLA CMMR to BKC (172.1.5.1) to (172.1.5.2),Down,"<div class=""logmessage"">18 msec (Avg. Round Trip Time (RTT)) is above the error limit of 15 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
5572,03-06-2024 14:08:36,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,Eth-1/34 IP-SLA LVSB to BKC (173.2.1.1) to (173.2.1.2),Up,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>"
6218,03-06-2024 14:08:22,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/54 IP-SLA CDC to NSE (172.1.3.1) to (172.1.3.2),Up,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>"
5572,03-06-2024 14:08:06,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,Eth-1/34 IP-SLA LVSB to BKC (173.2.1.1) to (173.2.1.2),Down,"<div class=""logmessage"">152 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
5576,03-06-2024 14:07:57,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,Eth-1/47 IP-SLA LVSB to CHURCHGATE (172.2.3.1) to (172.2.3.2),Up,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>"
6979,03-06-2024 14:07:54,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/45 IP-SLA CDC to BHANDUP (172.1.8.1) to (172.1.8.2),Up,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>"
2204,03-06-2024 14:07:42,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/38 IP_SLA CDC to CDC (172.1.4.1) to (172.1.4.2),Up,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>"
6259,03-06-2024 14:07:42,Huawei S6720 @NSE-PHASE-4 (172.16.4.2),Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">0.10 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>"
5576,03-06-2024 14:07:27,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,Eth-1/47 IP-SLA LVSB to CHURCHGATE (172.2.3.1) to (172.2.3.2),Down,"<div class=""logmessage"">5 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
6979,03-06-2024 14:07:24,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/45 IP-SLA CDC to BHANDUP (172.1.8.1) to (172.1.8.2),Down,"<div class=""logmessage"">25 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
6218,03-06-2024 14:07:22,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/54 IP-SLA CDC to NSE (172.1.3.1) to (172.1.3.2),Down,"<div class=""logmessage"">24 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
6265,03-06-2024 14:07:13,Huawei S5720 @NSE-PHASE-2 (172.16.4.22),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>"
6259,03-06-2024 14:07:12,Huawei S6720 @NSE-PHASE-4 (172.16.4.2),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>"
6265,03-06-2024 14:06:43,Huawei S5720 @NSE-PHASE-2 (172.16.4.22),Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.03 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>"
2204,03-06-2024 14:06:42,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/38 IP_SLA CDC to CDC (172.1.4.1) to (172.1.4.2),Warning,"<div class=""logmessage"">4 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 3 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
6297,03-06-2024 14:06:33,CISCO ME-3600X @ BKC-MSEI 172.16.3.31,Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>"
6303,03-06-2024 14:06:09,Huawei S5701 @ STT-GIF(172.16.8.12),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>"
6297,03-06-2024 14:06:03,CISCO ME-3600X @ BKC-MSEI 172.16.3.31,Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">0.03 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>"
5573,03-06-2024 14:06:01,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,Eth-1/48 IP-SLA LVSB to BKC (172.2.5.1) to (172.2.5.2),Up,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>"
5577,03-06-2024 14:05:38,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,Eth-1/45 IP-SLA LVSB to BSE EXCH (172.2.4.1) to (172.2.4.2),Up,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>"
5572,03-06-2024 14:05:36,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,Eth-1/34 IP-SLA LVSB to BKC (173.2.1.1) to (173.2.1.2),Up,"<div class=""logmessage"">3 msec<div class=""moreicon""></div></div>"
5573,03-06-2024 14:05:31,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,Eth-1/48 IP-SLA LVSB to BKC (172.2.5.1) to (172.2.5.2),Warning,"<div class=""logmessage"">4 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 3 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
6354,03-06-2024 14:05:29,Cisco Nexus 3064 @ NSE-IFSC (172.16.8.21),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0.13 #/s<div class=""moreicon""></div></div>"
6265,03-06-2024 14:05:13,Huawei S5720 @NSE-PHASE-2 (172.16.4.22),Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">0.17 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings — 0.07 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>"
6303,03-06-2024 14:05:09,Huawei S5701 @ STT-GIF(172.16.8.12),Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">0.03 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>"
5577,03-06-2024 14:05:08,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,Eth-1/45 IP-SLA LVSB to BSE EXCH (172.2.4.1) to (172.2.4.2),Down,"<div class=""logmessage"">18 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
5572,03-06-2024 14:05:06,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,Eth-1/34 IP-SLA LVSB to BKC (173.2.1.1) to (173.2.1.2),Down,"<div class=""logmessage"">17 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
6297,03-06-2024 14:05:03,CISCO ME-3600X @ BKC-MSEI 172.16.3.31,Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>"
6354,03-06-2024 14:04:59,Cisco Nexus 3064 @ NSE-IFSC (172.16.8.21),Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.03 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>"
5577,03-06-2024 14:04:38,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,Eth-1/45 IP-SLA LVSB to BSE EXCH (172.2.4.1) to (172.2.4.2),Warning,"<div class=""logmessage"">4 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 3 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
5572,03-06-2024 14:04:36,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,Eth-1/34 IP-SLA LVSB to BKC (173.2.1.1) to (173.2.1.2),Up,"<div class=""logmessage"">3 msec<div class=""moreicon""></div></div>"
