ID,Date Time,Parent,Type,Object,Status,Message,Message(RAW)
4473,03-06-2024 04:32:19,{isp-wr-jp-172-60-60-213} (172.60.60.213) [MK-CCR1036-12G-4S] @Rack_05 [CDC-105],SNMP Traffic 64bit,Ether6-60.231-P42_Direct Traffic,Up,"<div class=""logmessage"">0.03 Mbit/s<div class=""moreicon""></div></div>",0.03 Mbit/s
7940,03-06-2024 04:32:15,"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",SNMP Traffic 64bit,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],Warning,"<div class=""logmessage"">1.99 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total<div class=""moreicon""></div></div>",1.99 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total
8022,03-06-2024 04:32:13,{asr-wr-jp-172-60-60-224} (172.60.60.224) [ASR1002-X Chassis] @Rack_06 [CDC-105],Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0.03 #/s<div class=""moreicon""></div></div>",0.03 #/s
10109,03-06-2024 04:32:11,{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],SNMP Traffic 64bit,Airtel-182.78.48.12 SFP+_02 _to_ 192.168.101.24x_Eth-?,Up,"<div class=""logmessage"">2.10 Mbit/s<div class=""moreicon""></div></div>",2.10 Mbit/s
8047,03-06-2024 04:32:10,{asr-wr-jp-172-60-60-224} (172.60.60.224) [ASR1002-X Chassis] @Rack_06 [CDC-105],SNMP Custom Table,BGPv4 Peer: 10.1.3.1 (MTK-60.213),Up,"<div class=""logmessage"">Established<div class=""moreicon""></div></div>",Established
4477,03-06-2024 04:32:09,{isp-wr-jp-172-60-60-213} (172.60.60.213) [MK-CCR1036-12G-4S] @Rack_05 [CDC-105],SNMP Traffic 64bit,Ether2-TATA Traffic,Up,"<div class=""logmessage"">0.52 Mbit/s<div class=""moreicon""></div></div>",0.52 Mbit/s
5319,03-06-2024 04:32:07,{iil-sw-jp-172-60-60-231} (172.60.60.231) [ CISCO-WS-C2960S-48TD-L ] @Rack_XX,Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">1.20 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",1.20 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
10158,03-06-2024 04:32:06,{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16  [TP-GF],SNMP Traffic 64bit,Eth26(100)__vNIC08-16.vc12.c01__10.112.72.16,Down,"<div class=""logmessage"">2.27 #/s (Discards In) is above the error limit of 2 #/s in Discards In<div class=""moreicon""></div></div>",2.27 #/s (Discards In) is above the error limit of 2 #/s in Discards In
7940,03-06-2024 04:32:05,"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",SNMP Traffic 64bit,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],Up,"<div class=""logmessage"">2.15 Mbit/s<div class=""moreicon""></div></div>",2.15 Mbit/s
8052,03-06-2024 04:31:59,{asr-wr-jp-172-60-60-223} (172.60.60.223) [ASR1002-X Chassis] @Rack_05 [CDC-105],SNMP Custom Table,BGPv4 Peer: 10.1.3.1,Up,"<div class=""logmessage"">Established<div class=""moreicon""></div></div>",Established
